title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,1004 Estelle Ct,DURHAM,NC,27704,"$194,900","3 bds , 3 ba , 1,995 sqft",KW Elite Realty,https://www.zillow.com/homedetails/1004-Estelle-Ct-Durham-NC-27704/50008205_zpid/
Townhouse for sale,501 Summer Storm Dr,DURHAM,NC,27704,"$169,000","3 bds , 3 ba , 1,533 sqft",Keller Williams Realty United,https://www.zillow.com/homedetails/501-Summer-Storm-Dr-Durham-NC-27704/70921964_zpid/
House for sale,2413 Roanoke St,DURHAM,NC,27704,"$151,500","3 bds , 2.5 ba , 1,361 sqft",,https://www.zillow.com/homedetails/2413-Roanoke-St-Durham-NC-27704/87753711_zpid/
House for sale,3122 Genlee Dr,DURHAM,NC,27704,"$208,000","4 bds , 2.5 ba , 1,811 sqft",,https://www.zillow.com/homedetails/3122-Genlee-Dr-Durham-NC-27704/98200348_zpid/
House for sale,1411 Milan St,DURHAM,NC,27704,"$175,000","3 bds , 2.5 ba , 1,591 sqft",West and Woodall Real Estate,https://www.zillow.com/homedetails/1411-Milan-St-Durham-NC-27704/50008020_zpid/
House for sale,517 Stratton Way,DURHAM,NC,27704,"$152,000","3 bds , 2 ba , 1,300 sqft",,https://www.zillow.com/homedetails/517-Stratton-Way-Durham-NC-27704/50014385_zpid/
Auction,2428 Sundial Cir,DURHAM,NC,27704,$114K,"3 bds , 2 ba , 1,260 sqft",,https://www.zillow.com/homedetails/2428-Sundial-Cir-Durham-NC-27704/50007408_zpid/
House for sale,2406 Highland Ave,DURHAM,NC,27704,"$300,000","3 bds , 2 ba , 1,419 sqft",Mallard Realty Group,https://www.zillow.com/homedetails/2406-Highland-Ave-Durham-NC-27704/49972821_zpid/
House for sale,206 E Murray Ave,DURHAM,NC,27704,"$340,000","4 bds , 3 ba , 2,527 sqft","Durham - WEICHERT, REALTORS  - Mark Thomas Properties",https://www.zillow.com/homedetails/206-E-Murray-Ave-Durham-NC-27704/87756334_zpid/
Foreclosure,4301 Broomstraw Ct,DURHAM,NC,27704,"$199,900","3 bds , 2.5 ba , 2,240 sqft",,https://www.zillow.com/homedetails/4301-Broomstraw-Ct-Durham-NC-27704/87757426_zpid/
Auction,4811 West Ave,DURHAM,NC,27704,$118K,"4 bds , 1 ba , 1,375 sqft",,https://www.zillow.com/homedetails/4811-West-Ave-Durham-NC-27704/50018319_zpid/
House for sale,5719 Whippoorwill St,DURHAM,NC,27704,"$200,000","3 bds , 3 ba , 1,848 sqft",,https://www.zillow.com/homedetails/5719-Whippoorwill-St-Durham-NC-27704/50019124_zpid/
New construction,916 Horton Rd,Durham,NC,27704,"$284,000","3 bds , 3 ba , 1,706 sqft",,https://www.zillow.com/homedetails/916-Horton-Rd-Durham-NC-27704/2088089994_zpid/
New construction,896 Saratoga Dr,Durham,NC,27704,"$167,490","3 bds , 3 ba , 1,300 sqft",Chanticleer Properties LLC,https://www.zillow.com/homedetails/896-Saratoga-Dr-Durham-NC-27704/2086929196_zpid/
House for sale,1304 Cozart St,Durham,NC,27704,"$158,500","3 bds , 3 ba , 1,544 sqft",Coldwell Banker Howard Perry and Walston,https://www.zillow.com/homedetails/1304-Cozart-St-Durham-NC-27704/89698948_zpid/
House for sale,4605 Cheek Rd,DURHAM,NC,27704,"$540,000","3 bds , 3 ba , 3,509 sqft",KW Elite Realty,https://www.zillow.com/homedetails/4605-Cheek-Rd-Durham-NC-27704/50013412_zpid/
House for sale,839 Saratoga Dr,DURHAM,NC,27704,"$190,000","3 bds , 3 ba , 1,775 sqft",Coldwell Banker Howard Perry and Walston,https://www.zillow.com/homedetails/839-Saratoga-Dr-Durham-NC-27704/70921154_zpid/
House for sale,1225 Junction Rd,DURHAM,NC,27704,"$136,900","3 bds , 2 ba , 1,230 sqft",Movil Realty,https://www.zillow.com/homedetails/1225-Junction-Rd-Durham-NC-27704/50013033_zpid/
New construction,1000 Horton Rd,DURHAM,NC,27704,"$264,000","3 bds , 3 ba , 1,572 sqft",,https://www.zillow.com/homedetails/1000-Horton-Rd-Durham-NC-27704/49986406_zpid/
New construction,894 Saratoga Dr,Durham,NC,27704,"$159,990","3 bds , 3 ba , 1,300 sqft",Chanticleer Properties LLC,https://www.zillow.com/homedetails/894-Saratoga-Dr-Durham-NC-27704/2087528277_zpid/
House for sale,2502 N Duke St,DURHAM,NC,27704,"$235,000","4 bds , 2 ba , 1,564 sqft",Sapphire Realty & Investments,https://www.zillow.com/homedetails/2502-N-Duke-St-Durham-NC-27704/49971115_zpid/
House for sale,403 Kinnakeet Dr,DURHAM,NC,27704,"$258,000","3 bds , 3 ba , 2,112 sqft","Swann Group Realty, LLC",https://www.zillow.com/homedetails/403-Kinnakeet-Dr-Durham-NC-27704/124858787_zpid/
House for sale,3321 Shaftsbury St,DURHAM,NC,27704,"$210,000","3 bds , 2 ba , 1,655 sqft",Berkshire Hathaway HomeServices Carolinas Realty,https://www.zillow.com/homedetails/3321-Shaftsbury-St-Durham-NC-27704/49986682_zpid/
House for sale,522 E Club Blvd,DURHAM,NC,27704,"$73,000","2 bds , 1 ba , 814 sqft",Better Homes and Gardens Real Estate Go Realty,https://www.zillow.com/homedetails/522-E-Club-Blvd-Durham-NC-27704/49981024_zpid/
House for sale,708 W Murray Ave,DURHAM,NC,27704,"$274,990","4 bds , 3 ba , 2,157 sqft",Sunay Realty,https://www.zillow.com/homedetails/708-W-Murray-Ave-Durham-NC-27704/49971110_zpid/
